Name,Imdb,Status,Netflix us,Hulu us,Disney plus us,Appletv plus us
Tuba Atlantic,tt2061843,nominated,false,false,false,
Saving Face,tt2140371,won,false,false,false,
God Is the Bigger Elvis,tt2210633,nominated,false,false,false,
Incident in New Baghdad,tt1746180,nominated,false,false,false,
The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,tt1844056,nominated,false,false,false,
The Tsunami and the Cherry Blossom,tt2028578,nominated,false,false,false,
Undefeated,tt1860355,won,true,false,false,
Hell and Back Again,tt1748043,nominated,false,false,false,
If a Tree Falls: A Story of the Earth Liberation Front,tt1787725,nominated,false,false,false,
Paradise Lost 3: Purgatory,tt2028530,nominated,false,false,false,
Pina,tt1440266,nominated,false,false,false,
A Separation,tt1832382,won,false,false,false,
Bullhead,tt1821593,nominated,false,false,false,
Footnote,tt1445520,nominated,false,false,false,
In Darkness,tt1417075,nominated,false,false,false,
Monsieur Lazhar,tt2011971,nominated,false,false,false,
Rango,tt1192628,won,false,true,false,
A Cat in Paris,tt1673702,nominated,false,false,false,
Chico & Rita,tt1235830,nominated,false,false,false,
Kung Fu Panda 2,tt1302011,nominated,true,false,false,
Puss in Boots,tt0448694,nominated,false,false,false,
The Iron Lady,tt1007029,won,true,false,false,
Albert Nobbs,tt1602098,nominated,false,false,false,
The King's Speech,tt1504320,won,true,false,false,
127 Hours,tt1542344,nominated,false,false,false,
Black Swan,tt0947798,nominated,false,false,false,
The Fighter,tt0964517,nominated,false,false,false,
The Kids Are All Right,tt0842926,nominated,false,false,false,
True Grit,tt1403865,nominated,false,true,false,
Winter's Bone,tt1399683,nominated,false,false,false,
Another Year,tt1431181,nominated,false,false,false,
The Social Network,tt1285016,won,true,false,false,
Inception,tt1375666,won,true,false,false,
Alice in Wonderland,tt1014759,won,false,false,true,
Harry Potter and the Deathly Hallows: Part 1,tt0926084,nominated,false,false,false,
I Am Love,tt1226236,nominated,false,false,false,
The Tempest,tt1274300,nominated,false,false,false,
Toy Story 3,tt0435761,won,false,false,true,
Country Strong,tt1555064,nominated,true,false,false,
Tangled,tt0398286,nominated,false,false,true,
How to Train Your Dragon,tt0892769,nominated,false,false,false,
Salt,tt0944835,nominated,true,false,false,
TRON: Legacy,tt1104001,nominated,false,false,true,
Unstoppable,tt0477080,nominated,false,false,false,
Hereafter,tt1212419,nominated,false,false,false,
Iron Man 2,tt1228705,nominated,false,false,true,
The Lost Thing,tt1669698,won,false,false,false,
Day & Night,tt1620446,nominated,false,false,true,
Let's Pollute,tt1470652,nominated,false,false,false,
"Madagascar, a Journey Diary",tt1590114,nominated,false,false,false,
The Gruffalo,tt1461418,nominated,false,false,false,
God of Love,tt1631323,won,false,false,false,
Na Wewe,tt1764508,nominated,false,false,false,
The Confession,tt1687903,nominated,false,false,false,
The Crush,tt1509756,nominated,false,false,false,
Wish 143,tt1518330,nominated,false,false,false,
Strangers No More,tt1754549,won,false,false,false,
Killing in the Name,tt1684897,nominated,false,false,false,
Poster Girl,tt1505384,nominated,false,false,false,
Sun Come Up,tt1621975,nominated,false,false,false,
The Warriors of Qiugang,tt1744887,nominated,false,false,false,
Inside Job,tt1645089,won,false,false,false,
Exit Through the Gift Shop,tt1587707,nominated,false,false,false,
GasLand,tt1558250,nominated,false,false,false,
Restrepo,tt1559549,nominated,false,false,false,
Waste Land,tt1268204,nominated,false,false,false,
In a Better World,tt1340107,won,false,false,false,
Biutiful,tt1164999,nominated,false,false,false,
Dogtooth,tt1379182,nominated,false,false,false,
Hors la loi,tt1229381,nominated,false,false,false,
Incendies,tt1255953,nominated,false,false,false,
The Illusionist,tt0775489,nominated,false,false,false,
The Wolfman,tt0780653,won,false,false,false,
Barney's Version,tt1423894,nominated,false,false,false,
The Way Back,tt1023114,nominated,false,true,false,
Slumdog Millionaire,tt1010048,won,false,false,false,
Frost/Nixon,tt0870111,nominated,false,false,false,
The Reader,tt0976051,nominated,false,false,false,
Milk,tt1013753,won,false,false,false,
Frozen River,tt0978759,nominated,false,false,false,
Happy-Go-Lucky,tt1045670,nominated,false,false,false,
In Bruges,tt0780536,nominated,false,false,false,
Doubt,tt0918927,nominated,false,false,false,
Changeling,tt0824747,nominated,false,false,false,
The Curious Case of Benjamin Button,tt0421715,won,false,false,false,
Revolutionary Road,tt0959337,nominated,false,false,false,
The Duchess,tt0864761,won,true,false,false,
Australia,tt0455824,nominated,false,false,false,
Defiance,tt1034303,nominated,true,false,false,
Wanted,tt0493464,nominated,false,false,false,
The Dark Knight,tt0468569,won,false,false,false,
Iron Man,tt0371746,nominated,false,false,true,
